"data_origem";"data_destino";"origem";"destino_observado";"Baixa";"Moderada";"Alta"
1999-04-01;1999-05-01;"Moderada";"Baixa";0,117583775178405;0,494205784409431;0,388210440412164
1999-05-01;1999-06-01;"Baixa";"Baixa";0,421526664486211;0,416341206780621;0,162132128733168
1999-06-01;1999-07-01;"Baixa";"Alta";0,556629540029437;0,372825453831454;0,0705450061391096
1999-07-01;1999-08-01;"Alta";"Moderada";0,139257952694762;0,186050611390201;0,674691435915038
1999-08-01;1999-09-01;"Moderada";"Baixa";0,14101010308351;0,546448006938762;0,312541889977728
1999-09-01;1999-10-01;"Baixa";"Alta";0,419174998001394;0,396296573980472;0,184528428018134
1999-10-01;1999-11-01;"Alta";"Alta";0,116717580770735;0,165040351863241;0,718242067366024
1999-11-01;1999-12-01;"Alta";"Moderada";0,153173996301028;0,229125663430994;0,617700340267978
1999-12-01;2000-01-01;"Moderada";"Alta";0,112370471303215;0,562077767618893;0,325551761077892
2000-01-01;2000-02-01;"Alta";"Baixa";0,205272858832881;0,331755485374659;0,46297165579246
2000-02-01;2000-03-01;"Baixa";"Baixa";0,620540669100636;0,336552083395124;0,0429072475042396
2000-03-01;2000-04-01;"Baixa";"Moderada";0,529217984142997;0,378391502445811;0,0923905134111919
2000-04-01;2000-05-01;"Moderada";"Baixa";0,29435063226956;0,462268447394227;0,243380920336213
2000-05-01;2000-06-01;"Baixa";"Baixa";0,717252082300368;0,268304178481378;0,014443739218254
2000-06-01;2000-07-01;"Baixa";"Alta";0,518442159455198;0,381109483069423;0,100448357475378
2000-07-01;2000-08-01;"Alta";"Alta";0,0629829647464723;0,0857104891354183;0,851306546118109
2000-08-01;2000-09-01;"Alta";"Baixa";0,0930710844584143;0,141442901625367;0,765486013916218
2000-09-01;2000-10-01;"Baixa";"Baixa";0,52052231207689;0,378107348303836;0,101370339619275
2000-10-01;2000-11-01;"Baixa";"Baixa";0,614200784220942;0,338424181471186;0,0473750343078715
2000-11-01;2000-12-01;"Baixa";"Moderada";0,408273194590154;0,390977154478843;0,200749650931003
2000-12-01;2001-01-01;"Moderada";"Moderada";0,121433056442313;0,564489485025439;0,314077458532248
2001-01-01;2001-02-01;"Moderada";"Moderada";0,136996651853199;0,558520216414686;0,304483131732114
2001-02-01;2001-03-01;"Moderada";"Moderada";0,247741183191413;0,497236840266421;0,255021976542167
2001-03-01;2001-04-01;"Moderada";"Moderada";0,358131087475331;0,429881487163958;0,211987425360711
2001-04-01;2001-05-01;"Moderada";"Moderada";0,129379585183191;0,562473407633209;0,3081470071836
2001-05-01;2001-06-01;"Moderada";"Moderada";0,312279674882234;0,456183444115469;0,231536881002297
2001-06-01;2001-07-01;"Moderada";"Alta";0,179593295161946;0,5329049739826;0,287501730855454
2001-07-01;2001-08-01;"Alta";"Alta";0,0954876781069423;0,134650052385468;0,769862269507589
