"data";"ipca_mensal";"ipca_log1p";"regime_hmm_log1p";"Baixa";"Moderada";"Alta"
1980-01-01;6,62;2,03077636969855;"Moderada";5,467988901092e-191;1;6,63977836268568e-76
1980-02-01;4,62;1,7263316639056;"Moderada";1,89911069322831e-08;0,999996279003068;3,70200582460922e-06
1980-03-01;6,04;1,95160817016995;"Moderada";2,40046133747413e-10;0,999987270912636;1,27288473179099e-05
1980-04-01;5,29;1,83896107071235;"Moderada";2,12686565065231e-09;0,999993324146779;6,67372635557482e-06
1980-05-01;5,7;1,90210752639692;"Moderada";6,25402203911043e-10;0,999990491790149;9,50758444875499e-06
1980-06-01;5,31;1,84213567655312;"Moderada";1,99984425487852e-09;0,999993213820086;6,78418007019094e-06
1980-07-01;5,55;1,87946504964716;"Moderada";9,69813622358123e-10;0,999991652574753;8,34645543354867e-06
1980-08-01;4,95;1,78339121955754;"Moderada";6,26625472859404e-09;0,999995049287452;4,94444629334727e-06
1980-09-01;4,23;1,65441127807683;"Moderada";7,71639049717654e-08;0,999997173872072;2,7489640228613e-06
1980-10-01;9,48;2,3494686788929;"Moderada";1,1499910396392e-13;0,9997940234992;0,000205976500685455
1980-11-01;6,67;2,03731661537916;"Moderada";4,58467901348368e-11;0,999977182641257;2,28173128959265e-05
1980-12-01;6,61;2,02946317187359;"Moderada";5,33535809062524e-11;0,999979165975343;2,08339713033097e-05
1981-01-01;6,84;2,05923883436232;"Moderada";3,0051590832574e-11;0,999974792426417;2,52075435310546e-05
1981-02-01;6,4;2,00148000021012;"Moderada";9,15631520669158e-11;0,999982622959915;1,7376948522022e-05
1981-03-01;4,97;1,78674692740451;"Moderada";5,8627306824625e-09;0,999994933460087;5,06067718221471e-06
1981-04-01;6,46;2,00955541421567;"Moderada";7,83500336592472e-11;0,999981788623489;1,82112981605393e-05
1981-05-01;5,56;1,880990602956;"Moderada";9,41435338313596e-10;0,999991551188645;8,44786991932053e-06
1981-06-01;5,52;1,87487437593856;"Moderada";1,05991138964297e-09;0,999991843959848;8,15498024092318e-06
